column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_hpi
2004:Q3,97.86,88.54,94.76,98.99,100.89,86.46,89.02,92.96,88.09,96.94,88.94,93.64,104.45,99.14,92.69,96.57,92.67,88.55,93.41,91.53,84.66,,94.56915141491432
2004:Q4,99.43,91.15,95.33,99.32,100.64,88.53,92.01,94.85,91.44,98.65,94.2,95.56,103.01,98.2,95.29,97.53,95.21,90.98,94.46,93.51,90.08,,95.91566620017811
2005:Q1,99.13,95.96,97.61,99.44,100.22,92.11,95.39,99.36,94.83,99.42,94.1,97.68,101.72,97.85,97.46,98.46,97.37,95.76,94.98,95.67,94.16,,97.35031097217426
2005:Q2,99.64,98.51,99.7,99.54,100.03,96.73,98.57,98.89,98.32,99.63,99.2,99.4,100.51,99.4,99,99.45,98.95,98.36,98.37,98.7,98.02,,99.17976009160141
2005:Q3,99.54,101.37,100.76,100.14,99.9,102.57,101.57,99.06,101.79,100.13,99.49,100.63,99.38,101.17,101.17,100.47,101,100.95,102.28,101.66,101.97,,100.94034205121679
2005:Q4,101.68,104.16,101.92,100.88,99.84,108.59,104.47,102.69,105.06,100.82,107.21,102.29,98.4,101.57,102.37,101.62,102.67,104.93,104.37,103.97,105.85,,102.52902073753658
2006:Q1,103.07,108.4,107.68,101.66,99.84,115.23,106.9,108.34,108.3,102.94,107.61,104.41,97.53,102.55,105.58,102.87,106.76,107.52,107.76,105.64,109.58,,104.16565184202395
2006:Q2,106.88,111.46,113.99,102.23,99.9,121.48,109.1,108.14,111.1,104.98,113.19,106.02,96.84,104.94,108.41,104.06,109.99,108.49,111.15,106.76,113.45,,105.63293033569002
2006:Q3,109.56,111.97,114.6,102.5,100.03,124.73,111.12,108.63,113.36,107.22,118.3,107.16,96.32,106.1,108.81,105.16,114.53,111.17,114.55,107.66,116.86,,106.66625415750349
2006:Q4,111.58,115.08,115.62,103.05,100.22,124.89,113.1,111.6,115.37,109.98,114.56,108.64,95.96,110.97,109.23,106.22,118.49,115.14,115.33,108.74,121.37,,107.92987223060285
2007:Q1,112.96,120.07,119.09,103.81,100.8,126.67,114.5,113.17,117.23,114.45,117.25,110.46,95.83,114.87,109.32,107.32,123.38,120.09,116.37,109.17,126.67,,109.20719597971683
2007:Q2,117.64,121.53,124.14,104.12,100.99,127.4,115.55,115.04,118.69,116.79,115.56,111.83,95.67,115.36,109.94,108.47,127.06,123.41,122.64,109.11,131.18,,110.02984515003362
2007:Q3,122.13,123.63,125.92,104.44,101.12,128.12,116.62,117.22,119.95,119.51,113.6,112.8,95.57,115.98,110.62,109.58,128.87,123.82,128.11,107.99,134.35,,110.25742316570035
2007:Q4,127.19,124.74,126.92,104.85,101.18,126.35,117.69,116.84,121.69,120.78,111.93,113.95,95.41,116.91,111.27,110.56,129.91,124.31,128.38,107.7,136.13,,110.63759764453575
2008:Q1,128.16,127.24,127.93,105.52,101.02,125.09,118.29,116.3,122.32,121.9,110.89,115.58,95.31,117.98,110.69,111.38,130.9,123.49,126.81,107.01,137.48,,110.68445266352848
2008:Q2,127.03,129.11,129.42,106.71,101.02,125.23,117.83,117.21,121.85,119.98,106.49,115.89,94.88,120.42,109.63,112,130.92,117.98,128.64,104.48,138.39,,109.61444757456243
