column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
2004:Q2,97.79,96.68,96.84,97.93,97.25,96.09,93.58,97.76,97.85,97.54,93.83,98.01,98.77,95.75,93.41,99.43,93.66,94.43,96.3,96.39,90.72,,96.88
2004:Q3,96.88,99.41,97.11,98.44,97.79,97.15,94.82,98.32,98.43,97.88,95.48,98.77,98.01,97.08,95.19,99.75,93.02,95.71,98.32,97.33,92.64,,97.49
2004:Q4,98.24,100.26,97.92,98.93,99.03,98.43,96.05,98.41,98.79,97.26,94.24,98.33,99.33,98.2,96.93,100.15,96.2,97.08,98.97,99.21,94.87,,98.69
2005:Q1,98.17,99.88,97.94,98.9,98.62,99.61,97.81,96.9,99.05,98.52,97.96,98.55,99.81,98.71,98.59,100.9,97.09,97.87,99.23,98.25,96.88,,98.59
2005:Q2,100.09,98.07,99.11,99.52,99.96,100.21,99.89,99.18,99.56,99.19,101.59,98.78,100.02,99.54,99.76,100.12,102.72,99.23,99.31,99.26,98.44,,99.48
2005:Q3,100.93,100.47,101.13,100.31,100.68,99.64,101.21,101.68,100.14,100.62,101.01,99.41,100.84,100.43,100.74,99.89,99.27,100.76,99.98,100.67,101.15,,100.6
2005:Q4,100.82,101.58,101.82,101.27,100.74,100.54,101.09,102.23,101.24,101.67,99.45,103.26,99.6,101.32,100.91,99.09,100.92,102.13,101.48,101.81,103.54,,101.36
2006:Q1,102.21,104.56,106.07,102.71,101.73,102.16,102.21,101.63,101.63,101.89,102.6,101.74,99.95,102.02,101.31,99.95,94.51,103.22,102.37,103.82,105.07,,102.57
2006:Q2,104.31,105.83,104.43,103.86,102.35,103.87,104.52,103.35,103.23,102.64,105.89,103.1,100.9,102.93,101.42,101.31,92.86,104.79,103.69,105.2,108.34,,103.74
2006:Q3,107.85,102.81,106.61,105.04,102.88,102.32,106.23,105.1,104.13,103.58,105.03,103.22,101.71,103.84,102.18,102.07,94.88,106.84,104.04,106.16,112.14,,104.7
2006:Q4,111.34,105.53,107.98,106.26,103.84,103.1,106.54,106.17,105.81,103.6,101.5,105.21,101.98,104.83,103.32,102.75,96.34,108.85,106.1,107.24,114.77,,105.74
2007:Q1,114.87,110.06,109.54,108.04,103.86,103.49,108.49,106.7,106.67,103.13,105.98,105.3,102.54,105.66,104.29,103.3,98.26,112.72,108.72,108.24,117.39,,106.67
2007:Q2,117.57,108.05,109.17,109.11,104.09,104.84,108.65,108.27,107.58,104.96,109.74,106.26,102.06,106.74,105.7,105.35,98.26,114.48,110.71,109.01,120.97,,107.38
2007:Q3,118.24,108.87,111.1,109.99,105.04,104.09,108.53,110.64,108.74,106.03,109.96,105.64,102.71,107.97,106.95,106.56,100.38,116.11,109.22,109.75,124.53,,108.16
2007:Q4,120.14,110.38,112.65,110.69,106.29,106.72,112.9,111.36,110.1,107.22,108.22,106.89,102.46,109.26,108.3,106.98,102.25,117.08,110.9,111.21,127.46,,109.46
2008:Q1,121.09,114.12,115.17,111.17,106.7,106.47,114.72,111.45,111.05,106.63,112.2,107.85,101.74,111.14,109.9,107.11,102.96,115.94,113.39,113.85,129.25,,110.89
2008:Q2,120.55,114.3,115.44,111.53,108.38,107.33,115.65,115.12,111.42,110.32,115.55,109.01,102.48,112.47,111,107.22,104.85,116.73,117.1,117.1,131.84,,112.96
2008:Q3,120.93,114.29,115.37,111.73,108.35,106.38,116.84,115.92,111.09,110.21,114.54,107,102.34,113.59,111.51,106.88,106.41,117.25,114.71,115.36,135.27,,112.22
2008:Q4,130.65,115,115.77,111.78,107.85,106.94,115.45,116.53,111.17,111.57,113.63,104.52,102.7,114.58,111.48,106.14,108.35,118.16,114.47,113.38,136.43,,111.62
2009:Q1,128.91,116.88,115.86,110.88,106.77,107.92,116.16,115.53,110.74,108.93,112.93,104.7,100.96,114.69,111.4,105.67,108.11,118.63,117.14,111.25,135.57,,110.29
2009:Q2,132.48,115.91,116.33,110.94,107.75,108.82,117.27,117.42,111.32,113.04,111.68,102.76,102.73,115.78,111.76,105.44,110.47,119.33,120.07,111.31,136.56,,111.04
2009:Q3,129.46,115.4,116.99,111.16,108.3,109.11,115.84,119.7,111.75,113.35,107.9,102.72,102.46,117.06,112.41,105.18,112.8,120.12,118.49,110.13,139.48,,110.59
2009:Q4,130.48,114.22,116.91,111.54,108.5,111.81,115.52,121.44,111.72,114.42,105.87,103.03,102.35,118.6,113.67,106.28,114.56,121.02,119.34,110.58,142.47,,111.01
