column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
2001:Q1,90.37,102.2,95.65,101.23,97.74,91.09,93.3,85.86,94.73,94.11,89.63,97.55,96.14,86.84,95.59,104.49,80.05,90.93,93.98,94.41,90.35,,94.78
2001:Q2,92.6,103.84,92.24,101.28,97.73,91.65,92.17,87.92,94.64,94.55,90.45,96.92,95.49,88.04,94.54,105.31,80.7,91.27,94.94,93.86,89.34,,94.45
2001:Q3,92.31,102.82,93.39,101.38,97.45,90.84,96.16,89.35,96.07,95.8,90.78,96.71,95.24,88.32,94.67,106.46,84.14,91.21,96.52,95.91,89.99,,95.63
2001:Q4,94.58,102.44,94.74,101.3,97.04,91.81,95.52,86.99,96.94,96.48,91.76,96.13,95.76,89.41,95.4,106.37,86.23,90.85,96.56,94.52,90.46,,95.29
2002:Q1,94.27,102.41,96.07,99.61,96.83,92.95,95.09,86.8,97.29,97.1,91.41,97.49,96.37,89.35,97.98,105.17,86.65,88.53,97.39,96.83,91.75,,96.42
2002:Q2,89.63,103.81,94.49,99.21,97.1,93.92,95.74,88.42,97.96,97.35,92.52,99.16,96.72,90.23,97.94,104.58,88.72,88.05,97.35,97.1,91.44,,96.66
2002:Q3,91.45,100.11,94.42,98.7,97.86,93.77,94.66,91.02,98.04,97.04,92.7,97.69,97.19,90.97,97.59,103.98,90.05,88.48,98.55,96.45,91.34,,96.43
2002:Q4,91.14,101.42,94.84,98.29,98.42,94.38,96.11,90.2,99.68,97.14,90.82,96.92,97.26,91.76,96.14,103.61,90.47,89.05,98.86,96.42,91.49,,96.63
2003:Q1,91.73,100.82,95.21,97.3,98.55,94.66,96.39,91.3,97.54,98.78,91.33,97.95,96.87,92.59,94.66,101.88,88.76,90.76,98.08,96.07,91.89,,96.5
2003:Q2,93.32,102.19,96.56,97.13,98.4,95.96,97.52,92.25,98.16,100.13,92.85,98.39,96.91,94,94.43,101.56,92.31,92.04,97.89,97.22,91.86,,97.33
2003:Q3,94.62,101.16,96.09,97.17,98.15,96.01,96.8,96.85,98.39,98.71,92.76,98.81,97.46,95.58,94.18,101.05,92.81,93.14,98.67,98.25,92.5,,97.8
2003:Q4,95.6,101,96.44,97.34,98.53,96.43,98.12,96.91,98.58,99.56,91.47,98.13,97.81,96.02,94.76,100.96,94.23,94.14,98.61,98.52,92.86,,98.12
2004:Q1,96.92,99.75,97.43,98.25,99.31,96.65,99.14,96.98,98.83,98.67,93.25,100.13,99.83,97.16,95.95,101.76,92.15,95.61,98.61,98.88,94.28,,98.82
2004:Q2,99.96,99.39,98.48,98.24,98.99,97.57,97.28,98.58,99.82,100.35,95.74,100.53,98.22,98.46,96.49,101.65,95.46,96.48,97.35,99.57,95.54,,99.19
2004:Q3,98.8,101.65,98.56,98.74,99.3,98.75,97.55,99.79,100,100.29,97.14,100.58,97.38,98.6,98.03,101.56,94.27,97.7,99.35,99.94,96.75,,99.34
2004:Q4,99.63,102.12,99.11,99.08,100.06,99.44,98.31,98.45,99.85,98.74,94.98,99.68,99.03,99.62,98.56,101.72,96.56,98.43,99.79,101.04,97.72,,100.03
2005:Q1,99.07,101.25,98.63,99.15,99.31,100.13,99.1,96.78,99.77,99.34,98.49,99.45,99.58,99.31,100.09,101.97,98.49,98.72,100.27,99.48,98.45,,99.46
2005:Q2,100.6,98.4,99.29,99.63,100.29,100.74,100.39,99.07,99.93,99.51,102.06,99.14,100.07,100,100.11,100.4,102.36,99.55,98.89,99.9,99.19,,99.9
2005:Q3,100.51,99.76,100.74,100.32,100.21,99.76,100.91,102.36,99.8,100.28,100.74,99.19,100.86,100.21,100.3,99.57,98.84,100.49,99.73,100.19,100.39,,100.25
2005:Q4,99.82,100.59,101.33,100.89,100.19,99.37,99.6,101.79,100.5,100.86,98.71,102.22,99.49,100.48,99.5,98.06,100.32,101.24,101.12,100.43,101.9,,100.39
2006:Q1,100.13,102.92,105.13,101.9,100.96,101.17,99.72,100.51,100.26,100.28,101.46,100.1,100.16,100.98,100.13,98.12,93.19,101.49,101.45,101.99,103.59,,101.2
2006:Q2,101.03,102.93,103.07,102.4,101.42,102.15,101.08,101.75,101.28,100.44,103.86,100.7,101.03,101.64,99.1,99.4,91.43,101.71,103.03,102.59,105.3,,101.78
2006:Q3,103.86,99.21,104.93,103.2,101.79,99.75,102.05,104.01,101.7,100.66,101.94,100.3,102.28,101.99,99.17,99.69,93.32,103.18,102.42,102.78,106.41,,102.23
2006:Q4,106.56,101.47,106.35,104.29,102.59,100.71,101.95,104.14,103.12,99.59,98.47,101.78,102.89,102.75,100.04,100.21,93.89,105.08,104.72,103.85,107.99,,103.11
2007:Q1,109.11,104.89,106.95,105.86,102.02,100.8,102.83,103.73,103.45,98.78,102,101.45,103.44,103.21,100.9,99.71,95.51,108.4,106.7,103.81,108.82,,103.3
2007:Q2,110.23,102.24,106.07,106.18,101.88,101.81,102.12,104.24,103.75,99.65,104.11,101.88,103.05,103.61,101.3,101.33,95.57,109.48,108.2,103.67,109.37,,103.31
2007:Q3,109.87,102.71,107.69,106.54,102.32,100.88,101.43,107.12,104.23,100.74,103.41,100.48,103.53,103.98,102.38,102.48,97.78,110.59,106.33,103.8,110.22,,103.57
2007:Q4,110.78,103.01,109.09,105.98,102.88,102.83,103.96,106.43,104.3,100.87,101.91,100.66,103.06,104.12,101.61,102.25,98.28,110.6,107.99,104.1,110.66,,103.89
2008:Q1,110.7,105.39,111.09,105.46,103.01,101.72,104.57,105.31,104.22,99.27,105.42,100.61,102.31,104.63,102.81,102.01,97.97,108.56,108.98,105.56,110.8,,104.42
2008:Q2,109.61,104.19,110.52,104.87,104.16,101.95,104.38,107.86,103.81,101.93,107.44,100.82,102.72,104.3,102.55,101.7,99.19,107.75,110.9,107.38,110.93,,105.41
2008:Q3,109.06,103.63,109.42,104.25,103.37,99.53,104.79,107.72,103.15,100.32,106.37,98.24,103.64,104.12,102.1,101.25,99.06,106.78,107.79,104.66,110.79,,103.98
2008:Q4,117.02,105.21,110.55,104.91,103.48,99.78,104.1,107.04,103.66,101.18,106.23,96.52,105.06,104.21,102.56,101.38,99.94,107.16,107.57,104.35,110.22,,104.25
2009:Q1,114.83,107.37,110.94,104.97,103.3,101.17,105.89,106.47,103.83,99.25,112.03,97.3,103.85,104,102.45,100.94,99.64,106.96,109.57,102.95,108.3,,103.52
2009:Q2,117.61,106.79,111.23,105.03,103.65,101.82,107.59,107.79,104.71,102.82,111.71,95.19,106.28,104.7,102.57,101.27,100.79,106.99,111.71,102.59,107.33,,104.05
2009:Q3,114.13,106.49,111.48,105.25,103.75,100.86,105.69,110.53,104.97,102.48,108.44,94.97,106.76,105.14,102.59,100.53,102.91,107.27,109.35,100.74,107.81,,103.22
2009:Q4,114.03,105.23,110.48,105.48,103.39,102.98,105.12,111.18,104.71,102.51,106.52,95.05,106.75,106.01,103.63,101.06,104.79,108.09,110.06,100.4,108.72,,103.05
