column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,netherlands,norway,new_zealand,sweden,us,column_u,oecd_19
1987:Q4,44.6304172997954,45.4937414848237,71.2137380526159,119.975768508669,114.680654222052,57.8353531944593,40.0312897351406,70.7440337276872,49.8652023709048,46.5189158336677,25.5868868102183,62.4821405943641,131.710906485624,147.942874205275,39.5380545573218,78.2601751323186,48.6025772576094,62.7477629325974,65.7594908441538,,76.9207028498837
1988:Q1,45.7223523764766,46.3713272843453,71.3521508687974,125.115069884223,115.831648828837,57.8813812479822,42.0686446490294,71.277458530952,50.9628303757994,48.489854819333,25.930233528305,62.1704169321777,132.826806498587,151.646904533668,39.1694558415776,78.2344919698441,48.9132461056711,64.3727691634939,66.1288406909858,,77.7881759929823
1988:Q2,47.4543941765716,47.8575409191389,71.7860508644644,129.594189501659,115.848266590806,57.1837604243952,43.7741321605738,75.8968311227076,51.9597440704985,50.4595826436734,25.6391768670707,58.4900575157338,133.930631502407,156.87603148793,39.8740864067845,76.9603026753998,49.670989796437,66.2098853072061,66.6287945479065,,78.5224625583736
1988:Q3,51.4954442559485,48.3574401435284,73.573620427952,132.908738208915,115.204093320917,57.7028787122168,45.0637256189946,78.9570460900862,52.9133540466787,55.7743382143716,27.1557266417496,59.2729562662895,134.617876725705,161.352629417458,40.3705447011441,77.0832396615386,48.8348565139015,68.8902454593256,66.4215282168976,,79.3657066895462
1988:Q4,55.4506537068234,48.3445944582192,74.9739528041902,143.119037424381,116.23629297357,57.3960092082314,46.7627767632101,86.6055358430455,53.9278408367079,58.831875219107,26.4618268514803,62.4822558614999,135.755716840422,159.146853367087,40.8542882546351,76.4794203277468,48.8833393504603,70.4714510759573,66.6454813832982,,80.3811231513457
1989:Q1,59.2598087444904,50.1489194002182,76.9000496127299,142.968526414608,115.555526469885,55.872467467441,48.7988824404919,88.6628903132739,55.1346034609474,59.9486290113434,26.0766524647312,70.2661616031502,138.11439991463,164.220724450801,41.2970480174279,73.5377799301269,49.2824519460007,72.8902964634444,66.5395111191026,,81.5813461484159
1989:Q2,59.0934941707923,51.2651366612875,79.5190651859565,145.338053807817,115.400609667008,55.2615252830716,50.6243576053043,93.4406547818091,55.9869078103125,60.7848049713703,26.8694907904403,74.5597759799709,138.754943914241,171.585624371114,41.6346669227503,69.6377443517496,49.0868130123013,75.0469052963557,66.5204560306753,,82.4547410523252
1989:Q3,58.4338354031508,51.8511575081518,78.7247505013393,145.415735441927,116.004990752936,53.9781091642762,52.3253283559081,95.764254027063,56.9747123891159,60.9712204926994,27.2283554126451,75.5601710900099,141.151667905574,171.451680504799,42.3753335907144,66.9955739573501,48.7377036629745,76.1036959961928,67.440801640016,,83.339798259335
1989:Q4,57.4976185146146,53.2861426171815,79.8649149133279,146.538942582588,116.217283103149,52.9150179839586,53.383234522234,92.4213340896134,57.9020456257522,59.1230312681827,29.0125722978468,78.648611325371,144.602172948844,169.726745705806,42.7758621275909,65.3810431693185,49.0057265249212,75.9809303456854,67.6771672674983,,83.997506666468
1990:Q1,56.9191674867119,55.2046253163295,82.4242938234949,143.131031832805,113.691795383966,51.1744765375099,55.1185441562864,90.7256016654197,58.8090754149719,57.5250742776331,29.974253715327,81.3839837581567,150.098479185945,175.469960847549,42.6729719751528,63.2123100135409,49.4653169422243,77.861661600246,66.9981565902463,,84.6319159310327
1990:Q2,56.4370416884679,54.6494434777108,84.3139219522773,138.433292678741,113.696220326967,49.861370054505,55.4726948977789,90.9729972923814,59.6212353757544,55.6648891421312,30.8838661075813,87.2336419020452,154.310768325197,181.344072337114,43.0403886355262,62.5433336849071,49.3338960031155,77.3340730389717,66.5266217343365,,85.4412510560206
1990:Q3,55.6258423662832,55.218903212022,80.4661347702795,136.388861202542,114.086152657209,48.8258357897715,55.6490829151698,87.8458980941619,60.1541038011462,54.597735864235,30.7808597901449,87.8803899800804,159.70118575103,182.633818767715,41.8925529959931,60.6157016390641,49.3401374700664,76.4822369417348,65.9418911770493,,85.7275227419695
1990:Q4,54.5007710094652,55.9946725836618,78.3300639194244,132.298959624452,113.955693247259,48.3227636250898,56.1804360866568,84.2531105657357,60.5826200684953,53.2968693375106,30.1847226691654,89.1843956755698,161.46665150657,186.974748124496,41.5133010267639,57.8694084602908,48.6667069554767,74.1916326629314,65.0001028995879,,85.5362913111521
1991:Q1,54.4548198482237,55.9829872813834,75.1243720169029,129.133131415329,114.468584849222,48.696876082327,57.8723857065686,82.2447546449907,61.2688328681987,52.3621392856066,30.5702213122296,87.663493789571,162.180146907414,184.885227385993,41.4744525736414,56.7747891961727,47.9967249808411,76.2813643390084,65.129317311971,,85.4696319857734
1991:Q2,54.8836342658681,55.5068015315772,74.6146230890818,127.957228805414,114.141444630799,48.7424435369406,59.4916745366958,77.5843560704737,61.4488471181454,50.6254183635733,29.9865153263643,91.1627904868067,162.167359751631,185.424402170508,41.8192497235952,55.0003381881332,47.3968805853203,73.8165788933,65.1510543976577,,85.5355727494028
1991:Q3,56.1369444809725,56.4848939012832,76.0904777422907,129.871381944165,113.103432106599,48.9811209687474,59.719281003846,73.4798165784009,61.1244304934841,49.9941103854798,30.5765744642615,92.4225447170695,161.027411799162,180.489255944632,41.5850105091465,54.0070326033739,47.1224410057878,72.9002217466845,64.6351417642669,,85.009108072818
1991:Q4,55.515882011699,57.4556209272115,77.4857070870393,125.464264987143,112.122546650435,48.9020289406587,61.6852166070615,70.8708401662901,60.6187473628655,49.5333393742639,30.8741624658534,93.5582925624754,158.81119403364,171.555008325302,42.5855268529016,54.6239014401119,47.1110217834297,72.9655469908452,65.1693498222376,,84.6483171545274
1992:Q1,55.0448652278813,58.5614547710711,76.8787613469865,121.972301222017,113.980089716693,48.5871967306708,57.7412716763193,66.9398689010678,59.1084634821774,48.4775086517333,30.5681286900056,90.7773754842437,156.776411079693,164.101330437907,43.9282308416886,53.1992978216101,46.9068068958586,69.8669065027727,65.1889522478912,,83.7422890985399
1992:Q2,55.2121429680058,59.8227066125325,76.2902319037727,120.1469764552,113.47147475829,48.1658060159876,55.5831560065932,63.4396222194786,58.4825437138506,46.785261769799,30.2241345183559,93.1654772726597,153.807786363866,156.728123411574,42.3216814691714,54.0471226954035,46.9525144432718,67.7055216879155,64.6921174577942,,82.6771216174078
1992:Q3,55.0030985841553,59.7797727114973,75.4966156900325,115.567770070291,114.056087330832,47.5429201131651,54.3494725128014,60.4071141575536,57.885524433759,46.0194966416478,29.9352462394795,94.2221854515093,151.409776696828,152.423022884818,44.8194020449677,53.1961260078915,47.0749568706196,64.8893517751555,64.8881005573066,,82.1956715423475
1992:Q4,55.1410236850624,59.5700233191249,75.8612422175405,113.752017988599,114.191691694112,45.77874242463,53.6319357828071,58.5146005357581,57.4657976422874,44.4795999469148,29.9893928576161,94.3132424554371,149.107655934261,150.537577656587,44.9736460558857,52.4526029419718,47.6879724581295,60.2427472042446,64.9365973879531,,81.6588380004714
1993:Q1,55.4725494215191,59.7040450873075,76.9144429500144,111.827530994023,113.250480817158,45.280948033045,52.7736015797034,54.2562139193913,56.948095942687,44.4282605061762,30.0698645603818,91.3989050135881,146.79113193392,147.337458309248,45.4353254741015,50.5360094156325,47.5776903322253,55.7319035904559,64.6784908793304,,80.8058871856354
1993:Q2,55.376612082894,61.0833830124499,76.8194005801396,110.286056086526,113.381899923571,44.6980196909721,52.5015409058041,53.4110302007431,56.6015244955504,44.0569765509698,30.094923616332,90.3322650962713,145.029559874627,142.658208453286,46.099656736527,52.0261049207018,48.1931685965788,54.4570888408671,64.8871873039894,,80.404138358742
1993:Q3,55.2482566268744,61.1647742919985,78.059241009811,106.236012669764,113.792663141462,47.0468592362403,52.1185600267106,54.8767976590307,56.2398400599197,44.1399568494333,29.8282138752549,88.5785990822826,143.134747147505,139.246512523596,46.9892773719196,52.7550667984901,48.8622728383561,53.7503457138221,65.0936569438382,,80.0839462398477
1993:Q4,55.5109206508583,62.3834658165826,77.4391224791253,106.684259368582,114.220759250067,49.0887646364802,51.9268933392968,53.2714327234311,55.9627303369942,43.5845347338505,30.5580567907209,86.5644425638191,142.231391845238,135.36931935609,47.9617613849183,54.0305906911975,50.1036611295402,54.4970006171388,65.3684929663306,,79.8593946109533
1994:Q1,56.1013574494232,62.9938663127076,77.7490465913881,108.698590919258,114.929185117079,51.5206919742266,51.2241337123128,55.8788318395028,56.0307726249783,44.2405251756612,31.4247491290376,84.1606983092812,141.337642207622,130.679504090867,49.0772062978214,56.3379671441831,51.3036829277037,55.4195459575926,65.5580594842457,,79.7376090054529
1994:Q2,56.396427522446,63.9902055553058,78.4306974700851,108.84623839301,115.438700412537,51.0134015860139,49.9439126853911,55.199698104086,55.8023238414705,44.3600077965886,30.6349274577225,82.5423280796142,139.957729475986,127.469734497138,49.5611535922794,55.8223995748547,52.6856693926455,55.7665176605921,65.5601176231608,,79.3979337602403
1994:Q3,57.0263658453625,64.4391849476349,78.0686264090477,108.819531524777,116.125159151997,50.3972101845357,50.0522942361546,55.1209274878323,55.3899936220699,44.2997232995026,31.2975926783014,81.300367970864,139.624099867779,124.798419933081,51.0806088336098,57.4298161164585,54.7149328819322,55.8899627540904,65.222800609578,,79.1422879485904
1994:Q4,56.5499181904267,64.2352666722384,78.2896314004541,106.970398333483,116.434878339781,50.5156807175807,49.8643880077552,53.7593567453052,55.2527776169156,44.371254178062,29.6291628486264,80.7326588875361,138.920916429306,124.028990508386,50.3999867593479,59.2137405224978,56.0137432378778,55.3388591983951,64.9150396768377,,78.8489916348531
1995:Q1,56.6833206359404,64.7082081686463,77.4354260085887,105.179736563946,116.755288724953,51.3454879113547,50.3738656389218,52.3858967674617,55.0366500713836,43.530520427883,30.882432134675,79.7474393411977,138.711549836949,122.477561442508,50.2667132412921,59.644455281634,55.9445106451119,54.7806309840408,64.8111363595589,,78.6130223085497
1995:Q2,55.594323318037,65.0737659331478,75.276934728348,103.472003881791,116.741065941597,52.9623760271695,50.5607638802391,53.0219438134936,54.8136390644199,43.5591671071665,31.6334931031668,78.8002748240963,138.524085943902,119.970935451198,50.2747731338361,60.5406952015259,56.3334140259385,54.5814895097242,65.5336874216192,,78.6475568390259
1995:Q3,55.1959209200731,65.9195912825002,74.1975865600386,101.98858984437,116.518642935539,54.6259985307728,50.0383138813888,52.1364328395191,54.1630270718964,42.9624727422652,32.0117938382986,77.5705281293052,138.088271681065,117.05259185129,50.8360719775998,60.9958369776727,57.6804195051197,53.7777231161041,66.1946573844132,,78.5431381256215
